"BP1_1","delitos_cometidos","Año","mes","fecha_num","fecha_letra"
"09",2358476,"2019","Septiembre","09/2019","Septiembre 2019"
"10",2454378,"2019","Octubre","10/2019","Octubre 2019"
"11",3334720,"2019","Noviembre","11/2019","Noviembre 2019"
"12",3453767,"2019","Diciembre","12/2019","Diciembre 2019"
"01",2155368,"2020","Enero","01/2020","Enero 2020"
"02",2883984,"2020","Febrero","02/2020","Febrero 2020"
"03",2546466,"2020","Marzo","03/2020","Marzo 2020"
"04",1851522,"2020","Abril","04/2020","Abril 2020"
"05",2180274,"2020","Mayo","05/2020","Mayo 2020"
"06",2608845,"2020","Junio","06/2020","Junio 2020"
"07",1856252,"2020","Julio","07/2020","Julio 2020"
"08",1942569,"2020","Agosto","08/2020","Agosto 2020"
"09",2029833,"2020","Septiembre","09/2020","Septiembre 2020"
"10",2348025,"2020","Octubre","10/2020","Octubre 2020"
"11",3092163,"2020","Noviembre","11/2020","Noviembre 2020"
"12",3418897,"2020","Diciembre","12/2020","Diciembre 2020"
"01",1798641,"2021","Enero","01/2021","Enero 2021"
"02",2286678,"2021","Febrero","02/2021","Febrero 2021"
"03",2496454,"2021","Marzo","03/2021","Marzo 2021"
"04",1695913,"2021","Abril","04/2021","Abril 2021"
"05",2234776,"2021","Mayo","05/2021","Mayo 2021"
"06",2907701,"2021","Junio","06/2021","Junio 2021"
"07",2083193,"2021","Julio","07/2021","Julio 2021"
"08",2236057,"2021","Agosto","08/2021","Agosto 2021"
"09",2217897,"2021","Septiembre","09/2021","Septiembre 2021"
"10",2509556,"2021","Octubre","10/2021","Octubre 2021"
"11",3339812,"2021","Noviembre","11/2021","Noviembre 2021"
"12",3699411,"2021","Diciembre","12/2021","Diciembre 2021"
"01",1734504,"2022","Enero","01/2022","Enero 2022"
"02",2070250,"2022","Febrero","02/2022","Febrero 2022"
"03",2310544,"2022","Marzo","03/2022","Marzo 2022"
"04",1735236,"2022","Abril","04/2022","Abril 2022"
"05",2085105,"2022","Mayo","05/2022","Mayo 2022"
"06",2503185,"2022","Junio","06/2022","Junio 2022"
"07",1940163,"2022","Julio","07/2022","Julio 2022"
"08",2160477,"2022","Agosto","08/2022","Agosto 2022"
"09",2131756,"2022","Septiembre","09/2022","Septiembre 2022"
"10",2385585,"2022","Octubre","10/2022","Octubre 2022"
"11",3208565,"2022","Noviembre","11/2022","Noviembre 2022"
"12",3701434,"2022","Diciembre","12/2022","Diciembre 2022"
"01",2239849,"2023","Enero","01/2023","Enero 2023"
"02",2599123,"2023","Febrero","02/2023","Febrero 2023"
"03",2789377,"2023","Marzo","03/2023","Marzo 2023"
"04",1990157,"2023","Abril","04/2023","Abril 2023"
"05",2594949,"2023","Mayo","05/2023","Mayo 2023"
"06",3012558,"2023","Junio","06/2023","Junio 2023"
"07",2111649,"2023","Julio","07/2023","Julio 2023"
"08",2572473,"2023","Agosto","08/2023","Agosto 2023"
"09",2449970,"2023","Septiembre","09/2023","Septiembre 2023"
"10",2649247,"2023","Octubre","10/2023","Octubre 2023"
"11",3528992,"2023","Noviembre","11/2023","Noviembre 2023"
"12",4077926,"2023","Diciembre","12/2023","Diciembre 2023"
